	method	tf	M	fid	args
395	DT	31.87383328062299	95	0.9996167291477257	(8, 4, 1223749, 0, 1.0)
396	DT	19.86570280553979	37	0.9777979725285864	(5, 3, 1223749, 4, 1.0)
397	DT	25.072408441975732	50	0.9996167291477257	(4, 2, 1223749, 0, 1.0)
398	DT	20.08351234691571	30	0.9999970620690759	(4, 2, 1223749, 1, 1.0)
399	DT	15.063243419319775	41	0.9999994207222558	(7, 4, 1223749, 0, 1.0)
400	DT	18.134337405558778	40	0.9996167291477257	(6, 3, 1223749, 3, 1.0)
401	DT	15.063243419319775	41	0.9901413995231718	(7, 4, 1223749, 0, 1.0)
402	DT	30.905755670485895	46	0.9999664437295102	(4, 2, 1223749, 3, 1.0)
403	DT	27.669801480694208	51	0.9956223816276754	(5, 3, 1223749, 5, 1.0)
404	DT	20.71490841274122	41	1.0	(5, 3, 1223749, 2, 1.0)
405	DT	21.672125071453813	51	0.9991368561885445	(6, 3, 1223749, 0, 1.0)
406	DT	20.272053826375494	50	0.999993383642715	(7, 4, 1223749, 8, 1.0)
407	DT	19.86570280553979	37	0.95	(5, 3, 1223749, 4, 1.0)
408	DT	20.71490841274122	41	0.9777979725285864	(5, 3, 1223749, 2, 1.0)
409	DT	40.061516146707994	90	0.999993383642715	(6, 3, 1223749, 8, 1.0)
410	DT	30.256353376570324	75	0.9901413995231718	(7, 4, 1223749, 11, 1.0)
411	DT	74.45778192576036	204	0.9999244297158603	(8, 4, 1223749, 15, 1.0)
412	DT	36.72400022377217	82	0.9999986954395383	(6, 3, 1223749, 6, 1.0)
413	DT	25.072408441975732	50	0.9999244297158603	(4, 2, 1223749, 0, 1.0)
414	DT	27.669801480694208	51	0.9999999492828621	(5, 3, 1223749, 5, 1.0)
415	DT	20.272053826375494	50	0.9980561599327656	(7, 4, 1223749, 8, 1.0)
416	DT	25.072408441975732	50	0.9777979725285864	(4, 2, 1223749, 0, 1.0)
417	DT	46.62934994568243	116	0.9956223816276754	(7, 4, 1223749, 4, 1.0)
418	DT	31.87383328062299	95	0.9999998857826431	(8, 4, 1223749, 0, 1.0)
419	DT	27.669801480694208	51	0.95	(5, 3, 1223749, 5, 1.0)
